Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
676920,The Consumer,Michael Gira,"Gira, Michael",,"=""1880985268""","=""9781880985267""",0,3.70,2 13 61,Paperback,233,1995,1995,,2022/03/18,to-read,to-read (#64),to-read,,,,0,0
31937963,Human Acts,Han Kang,"Kang, Han",Deborah Smith,"=""""","=""""",4,4.27,Granta Books,Paperback,224,2016,2014,2022/03/17,2021/11/22,,,read,,,,1,0
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",0,3.61,Penguin Books,Paperback,289,2019,2018,,2022/02/23,to-read,to-read (#63),to-read,,,,0,0
23453099,Eileen,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""1594206627""","=""9781594206627""",0,3.56,Penguin Press,Hardcover,260,2015,2015,,2022/02/23,to-read,to-read (#62),to-read,,,,0,0
21805717,Only Ever Yours,Louise O'Neill,"O'Neill, Louise",,"=""""","=""""",0,3.76,Quercus,Kindle Edition,400,2014,2014,,2022/02/09,to-read,to-read (#61),to-read,,,,0,0
29739387,All the Missing Girls,Megan Miranda,"Miranda, Megan",,"=""1501146246""","=""9781501146244""",2,3.71,Simon & Schuster,Paperback,384,2016,2016,2022/01/04,2022/01/02,,,read,,,,1,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,4.14,Knopf,Paperback,607,1997,1994,,2019/02/20,to-read,to-read (#3),to-read,,,,0,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",0,3.78,Scribner,Paperback,209,2020,2017,,2022/01/02,to-read,to-read (#60),to-read,,,,0,0
42983724,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga",Antonia Lloyd-Jones,"=""0525541330""","=""9780525541332""",4,3.95,Riverhead Books,Hardcover,274,2019,2009,2021/12/29,2021/12/10,,,read,,,,1,0
23228995,Probably Monsters,Ray Cluley,"Cluley, Ray",,"=""1771483342""","=""9781771483346""",0,4.17,ChiZine Publications,Paperback,352,2015,2015,,2021/12/28,to-read,to-read (#59),to-read,,,,0,0
41154336,The Chestnut Man,Søren Sveistrup,"Sveistrup, Søren",Caroline Waight,"=""0062895362""","=""9780062895363""",0,4.21,Harper,Hardcover,519,2019,2019,,2021/12/25,to-read,to-read (#58),to-read,,,,0,0
15793201,Last Days,Adam L.G. Nevill,"Nevill, Adam L.G.",,"=""1250018188""","=""9781250018182""",0,3.73,St. Martin's Griffin,Paperback,531,2013,2012,,2021/12/25,to-read,to-read (#57),to-read,,,,0,0
4309446,Last Days,Brian Evenson,"Evenson, Brian","Peter Straub, Chris Patton","=""0980226007""","=""9780980226003""",0,3.72,Underland Press,Paperback,201,2009,2009,,2021/12/25,to-read,to-read (#56),to-read,,,,0,0
5308,The Pearl,John Steinbeck,"Steinbeck, John",,"=""0142000698""","=""9780142000694""",3,3.55,Penguin Books,Paperback,96,2002,1947,,2019/02/20,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.20,New American Library,Mass Market Paperback,328,1950,1949,,2019/02/20,,,read,,,,1,0
826674,"The ABC Murders (Hercule Poirot, #13)",Agatha Christie,"Christie, Agatha",,"=""0007119291""","=""9780007119295""",3,4.03,William Morrow; HarperCollins,Paperback,252,2011,1936,,2019/02/20,,,read,,,,1,0
55215088,Colorful,Eto Mori,"Mori, Eto",Jocelyne Allen,"=""1640094423""","=""9781640094420""",0,4.00,Counterpoint Press,Paperback,212,2021,1998,,2021/12/01,to-read,to-read (#55),to-read,,,,0,0
7372466,Another,Yukito Ayatsuji,"Ayatsuji, Yukito",,"=""4048740032""","=""9784048740036""",0,4.14,角川書店,Tankobon Hardcover,677,2009,2009,,2021/12/01,to-read,to-read (#54),to-read,,,,0,0
56269269,This Thing Between Us,Gus Moreno,"Moreno, Gus",,"=""0374539235""","=""9780374539238""",0,3.71,FSG Adult,Paperback,272,2021,2021,,2021/11/30,to-read,to-read (#53),to-read,,,,0,0
52028992,Negative Space,B.R. Yeager,"Yeager, B.R.",,"=""1733569456""","=""9781733569453""",0,3.70,Apocalypse Party,Paperback,364,2020,2020,,2021/11/23,to-read,to-read (#52),to-read,,,,0,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,3.71,Pantheon,Hardcover,274,2019,1994,,2021/11/23,to-read,to-read (#51),to-read,,,,0,0
31213272,The Hole,Hye-Young Pyun,"Pyun, Hye-Young",Sora Kim-Russell,"=""1628727802""","=""9781628727807""",0,3.35,Arcade,Hardcover,198,2017,2016,,2021/11/23,to-read,to-read (#50),to-read,,,,0,0
52219386,Almond,Sohn Won-Pyung,"Won-Pyung, Sohn",Joosun Lee,"=""0062961373""","=""9780062961372""",0,4.15,HarperVia,Hardcover,272,2020,2017,,2021/11/23,to-read,to-read (#49),to-read,,,,0,0
1347446,Strangers,Taichi Yamada,"Yamada, Taichi",Wayne P. Lammers,"=""1932234039""","=""9781932234039""",0,3.62,Vertical Inc,Paperback,208,2003,1987,,2021/11/22,to-read,to-read (#48),to-read,,,,0,0
41940236,The Whisper Man,Alex North,"North, Alex",,"=""1250317991""","=""9781250317995""",0,4.02,Celadon Books,Hardcover,355,2019,2019,,2021/11/22,to-read,to-read (#47),to-read,,,,0,0
547334,Masks,Fumiko Enchi,"Enchi, Fumiko",,"=""0394722183""","=""9780394722184""",4,3.68,Vintage,Paperback,141,1983,1958,2021/11/20,2021/11/19,,,read,,,,1,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,"=""1786071959""","=""9781786071958""",5,4.06,Oneworld Publications,Paperback,224,2017,2013,2021/11/05,2019/09/30,,,read,,true,,1,0
27834600,"In a Dark, Dark Wood",Ruth Ware,"Ware, Ruth",,"=""1501112333""","=""9781501112331""",4,3.72,Gallery/Scout Press,Paperback,352,2016,2015,2021/11/05,2021/11/05,,,read,,,,1,0
9998,The Woman in the Dunes,Kōbō Abe,"Abe, Kōbō","Machi Abe, E. Dale Saunders","=""0679733787""","=""9780679733782""",2,3.89,Vintage,Paperback,241,1991,1962,2021/11/19,2021/10/20,,,read,,,,1,0
235773,Waiting,Ha Jin,"Jin, Ha",,"=""0375706410""","=""9780375706417""",5,3.54,Vintage,Paperback,310,2000,1999,2021/11/17,2021/11/16,,,read,,,,1,0
32439,Intensity,Dean Koontz,"Koontz, Dean",,"=""0553582917""","=""9780553582918""",0,4.03,Ballantine Books,Mass Market Paperback,436,1996,1995,,2021/11/17,to-read,to-read (#46),to-read,,,,0,0
31540817,Men Without Women: Stories,Haruki Murakami,"Murakami, Haruki","Philip Gabriel, Ted Goossen","=""0451494628""","=""9780451494627""",3,3.74,Knopf,Hardcover,228,2017,2014,,2019/02/20,,,read,,,,1,0
